Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
132	9	0	3.3	3022633.61	3022611.65	3022596.9	3022633.61	19.8395492	24.7064492	0	100	0	0	3
133	9	0	3.325	3022639.9	3022613.7	3022597.05	3022639.9	21.2538306	24.7064492	0	100	0	0	3
134	9	0	3.35	3022648.35	3022616.04	3022597.05	3022648.35	22.6016026	24.7064492	0	100	0	0	3
135	9	0	3.375	3022648.08	3022618.05	3022597.05	3022648.35	23.3296173	24.7064492	0	100	0	0	3
136	9	0	3.4	3022644.5	3022619.61	3022597.05	3022648.35	23.248003	24.7064492	0	100	0	0	3
137	9	0	3.425	3022635.56	3022620.45	3022597.05	3022648.35	22.2491564	24.7064492	0	100	0	0	3
138	9	0	3.45	3022622.07	3022620.46	3022597.05	3022648.35	20.2159499	24.7064492	0	100	0	0	3
139	9	0	3.475	3022611.21	3022619.72	3022597.05	3022648.35	18.2240426	24.7064492	0	100	0	0	3
140	9	0	3.5	3022598.52	3022618.38	3022597.05	3022648.35	16.3522621	24.7064492	0	100	0	0	3
141	9	0	3.525	3022591.6	3022616.8	3022591.6	3022648.35	14.9822308	24.7064492	0	100	0	0	3
142	9	0	3.55	3022589.91	3022615.43	3022589.91	3022648.35	13.9097584	24.7064492	0	100	0	0	3
143	10	0	3.575	3022588.38	3022614.21	3022588.38	3022648.35	13.3679319	24.7064492	0	100	0	0	3
144	10	0	3.6	3022591.33	3022613.46	3022588.38	3022648.35	13.3679319	24.7064492	0	100	0	0	3
145	10	0	3.625	3022593.6	3022613	3022588.38	3022648.35	13.3679319	24.7064492	0	100	0	0	3
146	10	0	3.65	3022598.64	3022613.03	3022588.38	3022648.35	13.3679319	24.7064492	0	100	0	0	3
147	10	0	3.675	3022602.6	3022613.26	3022588.38	3022648.35	13.3679319	24.7064492	0	100	0	0	3
148	10	0	3.7	3022612.46	3022614	3022588.38	3022648.35	13.2954866	24.7064492	0	100	0	0	3
149	10	0	3.725	3022625.69	3022615.25	3022588.38	3022648.35	13.0053047	24.7064492	0	100	0	0	3
150	10	0	3.75	3022641.83	3022617.07	3022588.38	3022648.35	11.9954965	24.7064492	0	100	0	0	3
151	10	0	3.775	3022650.83	3022618.7	3022588.38	3022650.83	10.6441719	24.7064492	0	100	0	0	3
152	10	0	3.8	3022656.13	3022620.23	3022588.38	3022656.13	8.80367203	24.7064492	0	100	0	0	3
153	10	0	3.825	3022653.1	3022621.16	3022588.38	3022656.13	8.15979936	24.7064492	0	100	0	0	3
154	10	0	3.85	3022647.44	3022621.52	3022588.38	3022656.13	8.51903583	24.7064492	0	100	0	0	3
155	10	0	3.875	3022632.96	3022620.78	3022588.38	3022656.13	8.51903583	24.7064492	0	100	0	0	3
156	10	0	3.9	3022618.32	3022619.37	3022588.38	3022656.13	8.51903583	24.7064492	0	100	0	0	3
157	10	0	3.925	3022606.61	3022617.56	3022588.38	3022656.13	8.51903583	24.7064492	0	100	0	0	3
158	10	0	3.95	3022597.29	3022615.74	3022588.38	3022656.13	8.51903583	24.7064492	0	100	0	0	3
159	10	0	3.975	3022588.99	3022614.16	3022588.38	3022656.13	8.51903583	24.7064492	0	100	0	0	3
160	10	0	4	3022585.92	3022612.96	3022585.92	3022656.13	8.55650296	24.7064492	0	100	0	0	3
