Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
107	7	0	2.675	-8.5073475e-07	7.49539767e-06	-3.52805673e-06	1.21248765e-05	7.23498933e-06	0.0188093421	0	100	0	0	3
108	7	0	2.7	5.7251238e-08	7.08683528e-06	-3.52805673e-06	1.21248765e-05	7.01219128e-06	0.0175248181	0	100	0	0	3
109	7	0	2.725	-2.4155088e-06	6.47220544e-06	-3.52805673e-06	1.21248765e-05	5.57254946e-06	0.0193427569	0	100	0	0	3
110	8	0	2.75	4.76415464e-06	6.84200441e-06	-3.52805673e-06	1.21248765e-05	4.80147557e-06	0.0173156961	0	100	0	0	3
111	8	0	2.775	2.89696569e-07	6.87050052e-06	-3.52805673e-06	1.21248765e-05	4.51221137e-06	0.0189832624	0	100	0	0	3
112	8	0	2.8	5.77697761e-06	6.80300594e-06	-3.52805673e-06	1.21248765e-05	4.05885318e-06	0.0176866425	0	100	0	0	3
113	8	0	2.825	-1.79829589e-06	6.34824612e-06	-3.52805673e-06	1.21248765e-05	3.55610893e-06	0.018381721	0	100	0	0	3
114	8	0	2.85	-3.81870546e-07	5.78363292e-06	-3.52805673e-06	1.21248765e-05	3.63683559e-06	0.0172158477	0	100	0	0	3
115	8	0	2.875	-1.121956e-06	5.29323044e-06	-3.52805673e-06	1.21248765e-05	3.7793781e-06	0.0181795301	0	100	0	0	3
116	8	0	2.9	7.2820845e-06	5.1098101e-06	-3.52805673e-06	1.21248765e-05	3.63367364e-06	0.0180263356	0	100	0	0	3
117	8	0	2.925	-1.72111758e-06	4.51920898e-06	-3.52805673e-06	1.21248765e-05	3.84251371e-06	0.0183799859	0	100	0	0	3
118	8	0	2.95	1.90290967e-06	4.12720012e-06	-3.52805673e-06	1.21248765e-05	4.17953771e-06	0.0173776778	0	100	0	0	3
119	8	0	2.975	-5.1265451e-06	3.30570386e-06	-5.1265451e-06	1.12354591e-05	4.48398425e-06	0.0185934038	0	100	0	0	3
120	8	0	3	-8.5252981e-07	2.83200001e-06	-5.1265451e-06	1.12354591e-05	4.90715459e-06	0.0183776863	0	100	0	0	3
121	8	0	3.025	-8.96904875e-06	1.90196361e-06	-8.96904875e-06	1.12354591e-05	5.83719099e-06	0.0186098835	0	100	0	0	3
122	8	0	3.05	3.16917567e-07	1.41753803e-06	-8.96904875e-06	1.12354591e-05	6.32161657e-06	0.0178432463	0	100	0	0	3
123	8	0	3.075	-2.75978641e-06	8.55594981e-07	-8.96904875e-06	1.12354591e-05	6.88355962e-06	0.0185068856	0	100	0	0	3
124	8	0	3.1	4.84437492e-06	5.68313574e-07	-8.96904875e-06	1.12354591e-05	7.17084103e-06	0.0180146035	0	100	0	0	3
125	8	0	3.125	1.20742379e-07	3.90413486e-08	-8.96904875e-06	7.2820845e-06	7.67068485e-06	0.0196858123	0	100	0	0	3
126	9	0	3.15	1.26776744e-06	2.67413928e-07	-8.96904875e-06	7.2820845e-06	7.67068485e-06	0.0178896998	0	100	0	0	3
127	9	0	3.175	6.8541327e-07	6.24236267e-08	-8.96904875e-06	7.2820845e-06	7.45635632e-06	0.0192796107	0	100	0	0	3
128	9	0	3.2	-1.19116459e-06	4.62126821e-08	-8.96904875e-06	7.2820845e-06	7.04779393e-06	0.0179832274	0	100	0	0	3
129	9	0	3.225	-9.61728057e-07	-2.31014149e-09	-8.96904875e-06	7.2820845e-06	6.87281066e-06	0.0187876527	0	100	0	0	3
130	9	0	3.25	-1.59250363e-06	3.6880581e-08	-8.96904875e-06	7.2820845e-06	6.87281066e-06	0.0180348453	0	100	0	0	3
131	9	0	3.275	3.06075996e-06	-4.42334518e-08	-8.96904875e-06	7.2820845e-06	6.91473397e-06	0.0190146841	0	100	0	0	3
132	9	0	3.3	-5.40267029e-06	-3.1529854e-07	-8.96904875e-06	7.2820845e-06	7.11830448e-06	0.0180852112	0	100	0	0	3
133	9	0	3.325	-4.95831982e-06	-8.2650318e-07	-8.96904875e-06	7.2820845e-06	7.1747493e-06	0.0187953796	0	100	0	0	3
134	9	0	3.35	2.85032163e-06	-6.05140441e-07	-8.96904875e-06	7.2820845e-06	6.6101361e-06	0.017890204	0	100	0	0	3
135	9	0	3.375	2.09495115e-07	-5.76980171e-07	-8.96904875e-06	7.2820845e-06	6.11973362e-06	0.0193760325	0	100	0	0	3
136	9	0	3.4	7.0165668e-06	-1.89431466e-07	-8.96904875e-06	7.2820845e-06	5.93631328e-06	0.0184067285	0	100	0	0	3
137	9	0	3.425	-2.89125798e-06	-6.73876346e-07	-8.96904875e-06	7.0165668e-06	5.34571216e-06	0.0182990841	0	100	0	0	3
138	9	0	3.45	1.09718412e-06	-5.39671503e-07	-8.96904875e-06	7.0165668e-06	4.9537033e-06	0.0183307959	0	100	0	0	3
139	9	0	3.475	-8.07467623e-07	-6.68737089e-07	-8.96904875e-06	7.0165668e-06	4.13220704e-06	0.0184841453	0	100	0	0	3
140	9	0	3.5	6.21513871e-06	-1.28656907e-07	-8.96904875e-06	7.0165668e-06	3.65850319e-06	0.0184806647	0	100	0	0	3
141	9	0	3.525	-3.45709437e-07	-1.04522604e-07	-8.96904875e-06	7.0165668e-06	2.72846679e-06	0.0186839905	0	100	0	0	3
142	9	0	3.55	-1.58378277e-07	3.15033133e-07	-5.40267029e-06	7.0165668e-06	2.24404121e-06	0.0183056149	0	100	0	0	3
143	10	0	3.575	-2.10779386e-06	1.99570684e-07	-5.40267029e-06	7.0165668e-06	1.68209816e-06	0.0188121166	0	100	0	0	3
144	10	0	3.6	4.98724861e-06	5.68477113e-07	-5.40267029e-06	7.0165668e-06	1.39498029e-06	0.0183579298	0	100	0	0	3
145	10	0	3.625	6.22028387e-07	3.67412992e-07	-5.40267029e-06	7.0165668e-06	1.39498029e-06	0.0186930665	0	100	0	0	3
146	10	0	3.65	2.55028687e-06	4.83105587e-07	-5.40267029e-06	7.0165668e-06	1.39498029e-06	0.0181862789	0	100	0	0	3
147	10	0	3.675	9.4050311e-07	4.67521572e-07	-5.40267029e-06	7.0165668e-06	1.39498029e-06	0.0184238585	0	100	0	0	3
148	10	0	3.7	4.17604698e-06	6.33742225e-07	-5.40267029e-06	7.0165668e-06	1.4602454e-06	0.0180979985	0	100	0	0	3
149	10	0	3.725	-1.23012747e-06	6.31886849e-07	-5.40267029e-06	7.0165668e-06	1.4602454e-06	0.0189492653	0	100	0	0	3
150	10	0	3.75	5.67837171e-07	7.04723289e-07	-5.40267029e-06	7.0165668e-06	1.53122647e-06	0.0181533044	0	100	0	0	3
151	10	0	3.775	-2.07930208e-06	6.8154241e-07	-5.40267029e-06	7.0165668e-06	1.53122647e-06	0.0190692754	0	100	0	0	3
152	10	0	3.8	3.94567661e-06	7.23681299e-07	-5.40267029e-06	7.0165668e-06	1.55018448e-06	0.017868911	0	100	0	0	3
153	10	0	3.825	-4.20244539e-07	9.60939668e-07	-4.95831982e-06	7.0165668e-06	1.78744285e-06	0.0184638795	0	100	0	0	3
154	10	0	3.85	1.82308541e-06	1.28386373e-06	-2.89125798e-06	7.0165668e-06	1.95774007e-06	0.0182072621	0	100	0	0	3
155	10	0	3.875	4.16265257e-06	1.34635568e-06	-2.89125798e-06	7.0165668e-06	2.02023202e-06	0.0189495555	0	100	0	0	3
156	10	0	3.9	3.62222965e-08	1.33810459e-06	-2.89125798e-06	7.0165668e-06	2.02023202e-06	0.0174929985	0	100	0	0	3
157	10	0	3.925	-7.21081975e-09	1.00363899e-06	-2.89125798e-06	6.21513871e-06	2.02023202e-06	0.0187814171	0	100	0	0	3
158	10	0	3.95	6.63643537e-06	1.45733867e-06	-2.10779386e-06	6.63643537e-06	2.12607576e-06	0.0179548134	0	100	0	0	3
159	10	0	3.975	1.33638267e-07	1.41145554e-06	-2.10779386e-06	6.63643537e-06	2.12607576e-06	0.0182547814	0	100	0	0	3
160	10	0	4	1.75568323e-06	1.53351034e-06	-2.10779386e-06	6.63643537e-06	1.66216725e-06	0.017613408	0	100	0	0	3
