Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
136	9	0	3.4	293.201257	293.201197	293.201123	293.201257	0.000134282904	2.72853444e-05	0	20.3	0	0	3
137	9	0	3.425	293.201265	293.201204	293.201131	293.201265	0.000134410712	2.72113312e-05	0	20.2	0	0	3
138	9	0	3.45	293.201274	293.201211	293.201138	293.201274	0.000135782365	2.71374094e-05	0	19.9	0	0	3
139	9	0	3.475	293.201282	293.201218	293.201146	293.201282	0.000135625518	2.70631515e-05	0	19.9	0	0	3
140	9	0	3.5	293.20129	293.201225	293.201154	293.20129	0.000135452778	2.69893651e-05	0	19.9	0	0	3
141	9	0	3.525	293.201297	293.201231	293.201164	293.201297	0.000133285846	2.69149179e-05	0	20.1	0	0	3
142	9	0	3.55	293.201302	293.201238	293.201172	293.201302	0.000130273024	2.68394052e-05	0	20.6	0	0	3
143	10	0	3.575	293.201308	293.201244	293.201181	293.201308	0.000126741618	2.67624372e-05	0	21.1	0	0	3
144	10	0	3.6	293.201312	293.201251	293.201189	293.201312	0.000122994024	2.66836464e-05	0	21.6	0	0	3
145	10	0	3.625	293.201317	293.201257	293.201198	293.201317	0.000119195635	2.66030885e-05	0	22.3	0	0	3
146	10	0	3.65	293.201321	293.201263	293.201205	293.201321	0.000115960315	2.65202743e-05	0	22.8	0	0	3
147	10	0	3.675	293.201325	293.201268	293.201212	293.201325	0.000112802573	2.64351613e-05	0	23.4	0	0	3
148	10	0	3.7	293.201327	293.201274	293.201218	293.201327	0.000109030695	2.63472398e-05	0	24.1	0	0	3
149	10	0	3.725	293.201329	293.201279	293.201224	293.201329	0.000104989081	2.62560246e-05	0	25	0	0	3
150	10	0	3.75	293.20133	293.201284	293.201227	293.20133	0.000102415276	2.61615708e-05	0	25.5	0	0	3
151	10	0	3.775	293.201332	293.201289	293.201232	293.201332	0.000100244215	2.60648034e-05	0	26	0	0	3
152	10	0	3.8	293.201335	293.201294	293.201236	293.201335	9.92824612e-05	2.5966528e-05	0	26.1	0	0	3
153	10	0	3.825	293.20134	293.201299	293.201241	293.20134	9.95981057e-05	2.58679818e-05	0	25.9	0	0	3
154	10	0	3.85	293.201346	293.201304	293.201245	293.201346	0.000101031222	2.57700619e-05	0	25.5	0	0	3
155	10	0	3.875	293.201353	293.201309	293.201251	293.201353	0.000102424211	2.5673762e-05	0	25	0	0	3
156	10	0	3.9	293.20136	293.201314	293.201257	293.20136	0.00010310975	2.55791305e-05	0	24.8	0	0	3
157	10	0	3.925	293.201367	293.20132	293.201265	293.201367	0.000102018825	2.5485607e-05	0	24.9	0	0	3
158	10	0	3.95	293.201373	293.201325	293.201274	293.201373	9.94128531e-05	2.5393021e-05	0	25.5	0	0	3
159	10	0	3.975	293.201379	293.20133	293.201282	293.201379	9.7188329e-05	2.53007523e-05	0	26	0	0	3
160	10	0	4	293.201383	293.201335	293.20129	293.201383	9.33529349e-05	2.52079536e-05	0	27	0	0	3
